Subject,trial_id,condition_id,object_number,start_time,end_time,duration,start_position,end_position,distance,hit_try,letter,input_letters,right_letters
2,1,2,1,199.2991,201.0594,1.760284,5,12,-126,1,C,,C
2,1,2,2,203.0662,204.6766,1.610443,12,17,-90.00002,1,A,,CA
2,1,2,3,206.6877,209.4213,2.733612,17,6,-162,1,C,,CAC
2,1,2,4,211.4317,215.1538,3.722031,6,14,-144,1,D,,CACD
2,1,2,5,217.1655,218854,1.688461,14,4,180,1,D,,CACDD
2,1,2,6,220.8651,222.9317,2.066559,4,13,-162,1,C,,CACDDC
2,1,2,7,224.9431,226.4146,1.471542,13,4,162,1,C,CACDCCD,CACDDCC
2,2,2,1,236.6098,238.2873,1.677521,4,17,126,1,C,,C
2,2,2,2,240.2988,241.6209,1.322159,17,11,108,1,D,,CD
2,2,2,3,243.6318,245.4429,1.811157,11,4,126,1,A,,CDA
2,2,2,4,247.4538,248.7091,1.255356,4,11,-126,1,C,,CDAC
2,2,2,5,250.7209,252.9198,2.198929,11,2,162,1,B,,CDACB
2,2,2,6,254.9319,257.0313,2.099411,2,14,144,1,C,,CDACBC
2,2,2,7,259.0433,261.6317,2.588409,14,4,180,1,B,CDCABCD,CDACBCB
2,3,2,1,270.7431,272.2193,1.476196,4,13,-162,1,B,,B
2,3,2,2,274.2313,275.1757,0.9444275,13,8,89.99998,1,D,,BD
2,3,2,3,277.1871,279.6987,2.511597,8,18,-180,1,B,,BDB
2,3,2,4,281.7095,283054,1.344482,18,6,-144,1,C,,BDBC
2,3,2,5,285.0652,287.2369,2.171692,6,13,-126,1,C,,BDBCC
2,3,2,6,289.2428,290.7653,1.522522,13,5,144,1,A,,BDBCCA
2,3,2,7,292.7763,294.1318,1.35556,5,12,-126,1,C,BDCCDBC,BDBCCAC
2,4,2,1,301.0871,303.1206,2.033539,12,1,-162,1,C,,C
2,4,2,2,305.1316,306.8207,1.689117,1,11,180,1,D,,CD
2,4,2,3,308.8372,310.2981,1.460876,11,4,126,1,D,,CDD
2,4,2,4,312.3089,313.9649,1.656036,4,17,126,1,A,,CDDA
2,4,2,5,315.9764,317.2428,1.266327,17,4,-126,1,C,,CDDAC
2,4,2,6,319.2591,320.4314,1.172333,4,18,108,1,C,,CDDACC
2,4,2,7,322.4424,324.6869,2.244507,18,9,162,1,D,CDDCACD,CDDACCD
2,5,2,1,334.2319,336.3201,2.088226,9,2,126,1,A,,A
2,5,2,2,338.3316,339.6428,1.311249,2,8,-108,2,A,,AA
2,5,2,3,341.6623,342.9871,1.324738,8,0,144,1,C,,AAC
2,5,2,4,344.9982,346.3204,1.322235,0,14,108,1,B,,AACB
2,5,2,5,348.3315,349.5088,1.177338,14,9,90,1,D,,AACBD
2,5,2,6,351.5202,352.4146,0.8944702,9,14,-90,1,B,,AACBDB
2,5,2,7,354.4206,355.6088,1.188141,14,9,90,1,A,AACBCAD,AACBDBA
2,6,2,1,363.9868,365.7756,1.788879,9,18,-162,1,A,,A
2,6,2,2,367.7919,369.4647,1.672729,18,4,-108,1,A,,AA
2,6,2,3,371.4756,373.3756,1.900024,4,11,-126,1,B,,AAB
2,6,2,4,375.3869,376.9531,1.566193,11,3,144,1,A,,AABA
2,6,2,5,378965,380.7754,1.810394,3,14,162,1,D,,AABAD
2,6,2,6,382.7867,384.6867,1.900055,14,7,126,1,C,,AABADC
2,6,2,7,386.6978,389553,2.855225,7,17,180,1,B,AABACDB,AABADCB
2,7,2,1,396.8313,398.1479,1.316589,17,4,-126,1,B,,B
2,7,2,2,400.1539,401.6422,1.48822,4,11,-126,1,B,,BB
2,7,2,3,403.6533,404.7314,1.078156,11,5,108,1,B,,BBB
2,7,2,4,406.7421,407.7316,0.989502,5,0,90,1,A,,BBBA
2,7,2,5,409.7422,411.4976,1.755402,0,12,144,1,B,,BBBAB
2,7,2,6,413.5088,415.1533,1.644531,12,1,-162,1,C,,BBBABC
2,7,2,7,417.1644,419.2424,2.077972,1,11,180,1,C,AAABACB,BBBABCC
2,8,2,1,426.5534,428.7312,2.177795,11,4,126,1,B,,B
2,8,2,2,430.7424,432.8201,2.077728,4,17,126,1,C,,BC
2,8,2,3,434.8372,436.1029,1.265625,17,3,-108,1,C,,BCC
2,8,2,4,438.1095,439.4305,1.321045,3,8,-90.00001,1,B,,BCCB
2,8,2,5,441.4422,444.1917,2.749512,8,15,-126,1,C,,BCCBC
2,8,2,6,446.1982,448.5537,2.355499,15,2,-126,1,B,,BCCBCB
2,8,2,7,450.5645,453.5977,3.033234,2,7,-90,2,B,BCCBCBB,BCCBCBB
2,9,2,1,461.02,462.2201,1.200073,7,0,126,1,A,,A
2,9,2,2,464.2364,466.2534,2.016968,0,10,-180,1,B,,AB
2,9,2,3,468.2648,469.8087,1.543945,10,18,-144,1,D,,ABD
2,9,2,4,471.8202,473153,1.332825,18,13,90.00001,2,D,,ABDD
2,9,2,5,475.1642,476.6535,1.489258,13,1,-144,1,B,,ABDDB
2,9,2,6,478.6647,480.0417,1.376923,1,16,89.99998,1,C,,ABDDBC
2,9,2,7,482.0532,483.8584,1.805176,16,5,-162,1,C,ABDDBCB,ABDDBCC
2,10,2,1,490.5756,491931,1.355377,5,17,144,1,D,,D
2,10,2,2,493.9471,495.9914,2.044281,17,8,162,1,B,,DB
2,10,2,3,497998,500.1647,2.166748,8,1,126,1,D,,DBD
2,10,2,4,502.1757,504353,2.177307,1,12,162,1,B,,DBDB
2,10,2,5,506.3641,508.1528,1.788666,12,1,-162,1,D,,DBDBD
2,10,2,6,510.1645,510.8082,0.6437683,1,18,53.99999,1,C,,DBDBDC
2,10,2,7,512.8199,514.6424,1.82251,18,7,-162,1,C,DBDBDCC,DBDBDCC
2,1,1,1,754.3867,755.8751,1.488464,14,8,108,1,D,,D
2,1,1,2,757.8864,759.5409,1.65448,8,17,-162,1,B,,DB
2,1,1,3,761.5524,762.3975,0.8450317,17,12,90.00002,1,A,,DBA
2,1,1,4,764.4088,765.7523,1.343506,12,6,108,1,D,,DBAD
2,1,1,5,767.7639,768.8862,1.122375,6,11,-90.00001,2,C,,DBADC
2,1,1,6,770.8972,772.7253,1.828064,11,2,162,1,D,,DBADCD
2,1,1,7,774.7306,777.1752,2.444641,2,13,162,1,B,DBACCBD,DBADCDB
2,2,1,1,785.0644,786.7082,1.643799,13,2,-162,1,B,,B
2,2,1,2,788.7249,790108,1.383179,2,8,-108,1,C,,BC
2,2,1,3,792.1197,793.0527,0.9330444,8,2,108,1,A,,BCA
2,2,1,4,795.0642,796.4861,1.421875,2,15,126,1,C,,BCAC
2,2,1,5,798.4972,800.1861,1.688904,15,3,-144,1,A,,BCACA
2,2,1,6,802.1972,803.9526,1.755371,3,15,144,1,C,,BCACAC
2,2,1,7,805.9642,808.3971,2.432861,15,5,-180,1,A,BCACBCC,BCACACA
2,3,1,1,815.9752,817.2528,1.277649,5,12,-126,1,B,,B
2,3,1,2,819.2639,820.4526,1.18866,12,17,-90.00002,1,A,,BA
2,3,1,3,822.4639,824.4081,1.944275,17,7,-180,1,B,,BAB
2,3,1,4,826.4192,827.7916,1.372437,7,14,-126,1,A,,BABA
2,3,1,5,829.7976,831.1526,1.35498,14,0,-108,1,B,,BABAB
2,3,1,6,833.1637,834.4797,1.31604,0,17,53.99997,2,A,,BABABA
2,3,1,7,836.4866,837.9022,1.415649,17,10,126,1,D,BABABAD,BABABAD
2,4,1,1,848964,850.3531,1.389099,10,18,-144,1,D,,D
2,4,1,2,852.3638,853.6638,1.299927,18,4,-108,1,C,,DC
2,4,1,3,855.6747,857.2417,1.566956,4,9,-90,1,C,,DCC
2,4,1,4,859.2527,860.5413,1.288635,9,2,126,1,D,,DCCD
2,4,1,5,862.5529,863486,0.9331665,2,7,-90,1,A,,DCCDA
2,4,1,6,865.4972,867.1476,1.650391,7,12,-90,1,C,,DCCDAC
2,4,1,7,869.1533,870.0417,0.8884888,12,7,90,1,A,DCCDACA,DCCDACA
2,5,1,1,878.3203,879.4799,1.159668,7,2,90,1,D,,D
2,5,1,2,881.4865,883.0134,1.526917,2,9,-126,1,B,,DB
2,5,1,3,885.0198,886.1747,1.154907,9,14,-90,1,D,,DBD
2,5,1,4,888.1857,889.7863,1.600525,14,1,-126,1,C,,DBDC
2,5,1,5,891.7974,893.4746,1.677246,1,12,162,1,C,,DBDCC
2,5,1,6,895.4859,897.1689,1.682983,12,0,-144,1,B,,DBDCCB
2,5,1,7,899.1751,900.2975,1.122437,0,14,108,1,D,DBDCCBD,DBDCCBD
2,6,1,1,907.7861,909.7303,1.944275,14,3,-162,1,C,,C
2,6,1,2,911.7411,912.7308,0.9896851,3,17,108,1,D,,CD
2,6,1,3,914.7415,915.6863,0.9447632,17,3,-108,1,D,,CDD
2,6,1,4,917.6977,919.0862,1.38855,3,8,-90.00001,1,B,,CDDB
2,6,1,5,921103,923.0745,1.971497,8,16,-144,1,B,,CDDBB
2,6,1,6,925.0858,927.0416,1.955872,16,3,-126,1,A,,CDDBBA
2,6,1,7,929.0535,930.5304,1.476929,3,15,144,1,B,CDBDBAB,CDDBBAB
2,7,1,1,936.5526,938.3084,1.755798,15,2,-126,1,D,,D
2,7,1,2,940.3198,941.3304,1.010681,2,18,71.99999,2,A,,DA
2,7,1,3,943.3467,944.2524,0.9056396,18,3,-90,1,B,,DAB
2,7,1,4,946264,948.1083,1.844238,3,9,-108,1,C,,DABC
2,7,1,5,950.1194,951.0969,0.977478,9,4,90,1,A,,DABCA
2,7,1,6,953.1085,955353,2.244568,4,14,-180,1,B,,DABCAB
2,7,1,7,957364,958.6414,1.277405,14,0,-108,1,B,DBCABCD,DABCABB
2,8,1,1,972.4082,973.2418,0.8336182,0,16,71.99998,1,C,,C
2,8,1,2,975.2534,976665,1.411621,16,10,108,1,A,,CA
2,8,1,3,978675,980.1531,1.478088,10,18,-144,1,B,,CAB
2,8,1,4,982.1636,983.8644,1.700806,18,6,-144,1,A,,CABA
2,8,1,5,985.8751,987.4304,1.555237,6,12,-108,1,D,,CABAD
2,8,1,6,989442,990.8138,1.371826,12,5,126,1,D,,CABADD
2,8,1,7,992.8196,995.0131,2.193481,5,14,-162,1,B,CABADBD,CABADDB
2,9,1,1,1002442,1004506,2.063965,14,3,-162,1,C,,C
2,9,1,2,1006.51,1008686,2.175903,3,11,-144,1,D,,CD
2,9,1,3,1010702,1013264,2.561462,11,18,-126,1,B,,CDB
2,9,1,4,1015274,1016464,1.189575,18,13,90.00001,1,C,,CDBC
2,9,1,5,1018.48,1020097,1.617493,13,0,-126,1,A,,CDBCA
2,9,1,6,1022108,1024264,2.156372,0,10,-180,1,B,,CDBCAB
2,9,1,7,1026275,1027931,1.655762,10,18,-144,1,C,CDBCABC,CDBCABC
2,10,1,1,1034654,1036342,1.68811,18,10,144,1,D,,D
