Subject,trial_id,condition_id,object_number,start_time,end_time,duration,start_position,end_position,distance,hit_try,letter,input_letters,right_letters
9,1,2,1,183.5927,184.8141,1.221436,14,3,-162,1,B,,B
9,1,2,2,186.8264,187.7139,0.8875732,3,8,-90.00001,1,D,,BD
9,1,2,3,189.7251,191.2141,1.488953,8,18,-180,1,D,,BDD
9,1,2,4,193.2253,194.3918,1.166428,18,5,-126,1,B,,BDDB
9,1,2,5,196.4034,198.086,1.68251,5,17,144,2,A,,BDDBA
9,1,2,6,200.0926,201.0413,0.9487152,17,11,108,1,C,,BDDBAC
9,1,2,7,203.0481,204.0916,1.043442,11,18,-126,1,B,BDDBACD,BDDBACB
9,2,2,1,221.4591,222.6709,1.211792,18,7,-162,1,B,,B
9,2,2,2,224.6811,225.5025,0.8214569,7,12,-90,1,A,,BA
9,2,2,3,227.514,228.303,0.7889404,12,6,108,1,D,,BAD
9,2,2,4,230.3142,231.5305,1.216293,6,16,179.9802,1,D,,BADD
9,2,2,5,233.5367,234.7969,1.260193,16,4,-144,1,A,,BADDA
9,2,2,6,236.803,237.9472,1.14418,4,11,-126,1,C,,BADDAC
9,2,2,7,239.9584,240.8634,0.9049988,11,5,108,1,C,BADDACC,BADDACC
9,3,2,1,293.8363,294.8246,0.9883118,5,14,-162,1,C,,C
9,3,2,2,296.841,297.7358,0.8947449,14,1,-126,1,B,,CB
9,3,2,3,299.7467,300.7133,0.9666443,1,14,126,1,B,,CBB
9,3,2,4,302.7252,303.6024,0.8771973,14,0,-108,1,B,,CBBB
9,3,2,5,305.6133,306.6252,1.011841,0,13,126,1,B,,CBBBB
9,3,2,6,308.636,309.7808,1.144867,13,5,144,1,A,,CBBBBA
9,3,2,7,311.7915,313.0026,1.21106,5,17,144,1,C,CBBBBAC,CBBBBAC
9,4,2,1,323.3363,324.2908,0.9545593,17,3,-108,1,B,,B
9,4,2,2,326.3026,327.4358,1.133209,3,12,-162,1,B,,BB
9,4,2,3,329.4467,330.6469,1.200165,12,1,-162,1,D,,BBD
9,4,2,4,332.6579,333.7473,1.089447,1,15,108,2,D,,BBDD
9,4,2,5,335.7581,336.6854,0.9272156,15,2,-126,1,A,,BBDDA
9,4,2,6,338.6915,339.3022,0.6106567,2,18,71.99999,1,B,,BBDDAB
9,4,2,7,341.3139,342.1687,0.8548584,18,12,108,1,B,BBDDABB,BBDDABB
9,5,2,1,359.0254,359.8694,0.8440247,12,1,-162,1,C,,C
9,5,2,2,361.8802,363.5133,1.633087,1,13,144,1,C,,CC
9,5,2,3,365.5247,366.396,0.8713379,13,0,-126,1,C,,CCC
9,5,2,4,368.4024,369.3515,0.9491272,0,12,144,1,D,,CCCD
9,5,2,5,371.3584,372.1248,0.7663574,12,7,90,1,B,,CCCDB
9,5,2,6,374.1364,374.8581,0.7216797,7,12,-90,1,C,,CCCDBC
9,5,2,7,376.8689,377.7515,0.8825378,12,18,-108,1,C,CCCDBCC,CCCDBCC
9,6,2,1,385.8365,386.8239,0.9873962,18,4,-108,1,C,,C
9,6,2,2,388.8353,389.5735,0.7382202,4,18,108,1,B,,CB
9,6,2,3,391.5808,392.3361,0.7553101,18,13,90.00001,1,A,,CBA
